date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:55	11508/11508	---M--	200	added ('OK')	text/css	etag:%221570319c-2cf4-565b7993c46bc%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/vendors/css/chartist.min.css	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/vendors/css/chartist.min.css	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:29:56	1719/1719	---M--	200	added ('OK')	image/png	etag:%2215742010-6b7-565b7993c6214%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/img/logo-dark.png	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/img/logo-dark.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:29:58	64654/64654	---M-Z	200	added ('OK')	text/html	etag:%22159a10ee-fc8e-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/dashboard1.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/dashboard1.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:29:58	72696/72696	---M-Z	200	added ('OK')	text/html	etag:%22159a10ef-11bf8-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/dashboard2.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/dashboard2.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:29:58	113206/113206	---M-Z	200	added ('OK')	text/html	etag:%22159a10dc-1ba36-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/color-palette.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/color-palette.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:29:58	1347875/1347875	---M--	200	added ('OK')	text/css	etag:%22157c1856-149123-565b7993ccb8c%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/css/app.css	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/css/app.css	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:29:59	83817/83817	---M-Z	200	added ('OK')	text/html	etag:%22159a1105-14769-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/inbox.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/inbox.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:29:59	62790/62790	---M-Z	200	added ('OK')	text/html	etag:%22159a10db-f546-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/chat.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/chat.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:00	62717/62717	---M-Z	200	added ('OK')	text/html	etag:%22159a1117-f4fd-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/taskboard.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/taskboard.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:00	70525/70525	---M-Z	200	added ('OK')	text/html	etag:%22159a10ff-1137d-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/grids.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/grids.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
